Zip Code;LessWaterAv;WaterScarLv;Lattitude;Longitude
92115;64343;10;32.75;-117.07
92071;57710;8;32.85;-116.99
91911;42013;4;32.61;-117.03
92110;30108;2;32.77;-117.2
92020;29872;3;32.79;-116.96
91945;27236;6;32.73;-117.03
92128;25679;6;32.99;-117.07
92102;22005;7;32.72;-117.09
92131;17364;2;32.89;-117.07
91910;14971;5;32.63;-117.05
92154;14830;9;32.56;-117.01
92019;14424;1;32.77;-116.86
92014;13568;7;32.96;-117.25
91950;12572;8;32.67;-117.09
93908;12398;5;36.65;-121.6
92040;11577;9;32.9;-116.89
92129;10952;7;32.96;-117.12
91902;9448;8;32.67;-117.01
92250;8655;7;32.83;-115.19
92101;8232;6;32.71;-117.16
92130;8019;5;32.95;-117.19
92054;6968;7;33.2;-117.35
92025;6623;8;33.09;-116.94
92029;6461;5;33.08;-117.13
92027;6310;6;33.13;-116.98
92056;5234;4;33.2;-117.29
91932;4415;10;32.57;-117.11
92251;3995;2;32.86;-115.65
92108;3183;1;32.77;-117.14
92173;2385;3;32.55;-117.04
92121;2365;6;32.9;-117.2
92233;1877;1;33.13;-115.52
91901;1651;3;32.8;-116.71
92083;1520;3;33.2;-117.25
92059;1464;2;33.38;-117.07
92084;1358;3;33.21;-117.2
92058;1151;2;33.33;-117.3
91962;1053;3;32.74;-116.42
92026;1006;3;33.22;-117.1
92036;864;2;33.02;-116.49
92064;766;2;32.97;-117.02
92028;602;1;33.39;-117.21
92057;417;3;33.27;-117.28
91906;369;2;32.68;-116.47
91931;307;1;32.83;-116.58
92145;269;2;32.93;-117.01
91948;130;2;32.87;-116.46
92086;129;1;33.28;-116.6
91935;106;3;32.69;-116.8
92004;82;1;33.17;-116.27
91916;78;2;32.9;-116.62
91905;61;3;32.67;-116.31
92082;51;3;33.25;-116.98
92061;31;1;33.3;-116.92
92003;30;2;33.28;-117.19
92066;17;2;33.22;-116.54
92283;16;2;32.87;-114.72
92060;11;1;33.31;-116.84
