,Zip Code,Lattitude,Longitude,BoundingArea,Address
28,92108,32.77,-117.14,"['32.7683755', '32.7705337', '-117.1443144', '-117.1379497']","Mission Valley Freeway, Mission Valley, San Diego, San Diego County, California, 92108, United States"
31,92233,33.13,-115.52,"['33.1258871', '33.1327649', '-115.5275729', '-115.5143778']","Calipatria Municipal Airport, North International Boulevard, Calipatria, Imperial County, California, United States"
34,92059,33.38,-117.07,"['33.3736732', '33.3750357', '-117.0761515', '-117.0692035']","Oaks Road, Pala, San Diego County, California, 92059, United States"
36,92058,33.33,-117.3,"['33.3291258', '33.3689473', '-117.2989541', '-117.2609']","Ammunition Road, Marine Corps Base Camp Pendleton, San Diego County, California, 92028, United States"
39,92036,33.02,-116.49,"['33.004279', '33.0184006', '-116.5191702', '-116.4638045']","Mason Valley Truck Trail, San Diego County, California, United States"
40,92064,32.97,-117.02,"['32.970064', '32.970164', '-117.020161', '-117.020061']","14113, Mountain View Court, Sunrise Ranch, Poway, San Diego County, California, 92064, United States"
41,92028,33.39,-117.21,"['33.390109', '33.390209', '-117.209276', '-117.209176']","2456, Gum Tree Lane, Fallbrook, San Diego County, California, 92028, United States"
43,91906,32.68,-116.47,"['32.680628847188', '32.680728847188', '-116.46932024486', '-116.46922024486']","3703, La Posta Truck Trail, San Diego County, California, 91906, United States"
56,92283,32.87,-114.72,"['32.6184162', '33.4338267', '-116.1062797', '-114.4627897']","Imperial County, California, United States"
44,91931,32.83,-116.58,"['32.8270905', '32.8288457', '-116.5792085', '-116.5722972']","Service Road, San Diego County, California, 91931, United States"
46,91948,32.87,-116.46,"['32.869536', '32.8730959', '-116.4655056', '-116.459566']","Big Laguna Trail, San Diego County, California, 91948, United States"
47,92086,33.28,-116.6,"['33.272607', '33.289525', '-116.620567', '-116.589593']","Eagles Nest Road, Eagles Nest, Warner Springs, San Diego County, California, United States"
49,92004,33.17,-116.27,"['33.1648915', '33.211126', '-116.3300436', '-116.2557285']","Borrego Springs Road, Desert Lodge, Borrego Springs, San Diego County, California, 92004, United States"
50,91916,32.9,-116.62,"['32.903195', '32.903295', '-116.618198', '-116.618098']","11908, Twin Springs Road, San Diego County, California, 91916, United States"
53,92061,33.3,-116.92,"['33.2896', '33.300724', '-116.926071', '-116.919647']","Pauma Rancho Road, San Diego County, California, United States"
54,92003,33.28,-117.19,"['33.279729', '33.279829', '-117.1898', '-117.1897']","31203, Via Margarita, Bonsall, San Diego County, California, 92003, United States"
55,92066,33.22,-116.54,"['33.221215', '33.221315', '-116.542504', '-116.542404']","36202, Montezuma Valley Road, Ranchita, San Diego County, California, 92066, United States"
45,92145,32.93,-117.01,"['32.930909', '32.931009', '-117.009789', '-117.009689']","15753, Via Santa Pradera, San Diego, San Diego County, California, 92145, United States"
27,92251,32.86,-115.65,"['32.847388', '32.86916', '-115.6549843', '-115.6548262']","Guthrie Road, Imperial County, California, United States"
57,92060,33.31,-116.84,"['33.310366013885', '33.310466013885', '-116.84088945064', '-116.84078945064']","26666, Conifer Road, San Diego County, California, 92060, United States"
3,92110,32.77,-117.2,"['32.770198', '32.770298', '-117.200002', '-117.199902']","5045, Savannah Street, Morena, San Diego, San Diego County, California, 92110, United States"
8,92131,32.89,-117.07,"['32.88416', '32.8927285', '-117.0770708', '-117.0660859']","Sycamore Test Facility Access Road, San Diego, San Diego County, California, 92131, United States"
11,92019,32.77,-116.86,"['32.765938', '32.76656', '-116.855789', '-116.8500126']","Model A Ford Lane, San Diego County, California, 09219, United States"
52,92082,33.25,-116.98,"['33.249925', '33.250025', '-116.980942', '-116.980842']","29547, The Yellow Brick Road, Valley Center, San Diego County, California, 92082, United States"
51,91905,32.67,-116.31,"['32.669464262912', '32.669564262912', '-116.31001049606', '-116.30991049606']","38990, Old Highway 80, San Diego County, California, 91905, United States"
48,91935,32.69,-116.8,"['32.6844031', '32.6958242', '-116.8117981', '-116.79103']","Honey Springs Road, San Diego County, California, 91935, United States"
42,92057,33.27,-117.28,"['33.270176', '33.270276', '-117.280188', '-117.280088']","455, Wilshire Road, Oceanside, San Diego County, California, 92057, United States"
38,92026,33.22,-117.1,"['33.2119912', '33.2209042', '-117.1147642', '-117.0957205']","Meadow Lake Country Club, Willow Trail, San Diego County, California, 92026, United States"
37,91962,32.74,-116.42,"['32.7336955', '32.749988', '-116.426277', '-116.411907']","La Posta Truck Trail, San Diego County, California, 91462, United States"
